work_0,idel_0,heavy_0,work_1,idel_1,heavy_1,work_2,idel_2,heavy_2,work_3,idel_3,heavy_3,chunktime,total_idel,total_heavy
0.0489723,0.00069379807,1200,0.0079604,0.041705698,0,0.0079678,0.0416983,0,0.0079684,0.0416977,0,0.0496661,0.1257955,1200
0.0488549,5.1099807e-05,1200,0.0079762,0.040929798,0,0.0079134,0.0409926,0,0.0080037,0.040902298,0,0.048906,0.122875795,1200
0.0490738,3.9100647e-05,1200,0.0079234,0.0411895,0,0.0079151,0.0411978,0,0.0079282,0.0411847,0,0.0491129,0.1236111,1200
0.0487183,4.730001e-05,1200,0.0079245,0.0408411,0,0.007922,0.0408436,0,0.0080241,0.0407415,0,0.0487656,0.12247349,1200
0.0487358,4.3597072e-05,1200,0.0079165,0.0408629,0,0.0079234,0.040855996,0,0.00795,0.040829398,0,0.0487794,0.12259189,1200
0.0498442,4.0397048e-05,1200,0.0081186,0.041766,0,0.007976,0.0419086,0,0.0079588,0.0419258,0,0.0498846,0.1256408,1200
0.0494169,6.9301575e-05,1200,0.0080038,0.0414824,0,0.0080287,0.0414575,0,0.0080383,0.0414479,0,0.0494862,0.1244571,1200
0.0489467,4.3097883e-05,1200,0.0079179,0.0410719,0,0.0079091,0.0410807,0,0.0079793,0.0410105,0,0.0489898,0.1232062,1200
0.0486336,6.739795e-05,1200,0.0079876,0.0407134,0,0.0081223,0.0405787,0,0.0079138,0.040787198,0,0.048701,0.122146696,1200
0.048857,6.939843e-05,1200,0.0079303,0.040996097,0,0.0079545,0.040971898,0,0.0079934,0.040932998,0,0.0489264,0.12297039,1200
0.0495169,6.9499016e-05,1200,0.0079643,0.041622102,0,0.0079418,0.0416446,0,0.0079396,0.0416468,0,0.0495864,0.124983005,1200
0.04867,7.160008e-05,1200,0.0079425,0.040799104,0,0.0079106,0.040831,0,0.0079502,0.0407914,0,0.0487416,0.1224931,1200
0.0488477,6.7498535e-05,1200,0.0079661,0.0409491,0,0.0079283,0.0409869,0,0.0080319,0.0408833,0,0.0489152,0.12288679,1200
0.0490555,0.00010249764,1200,0.0079243,0.0412337,0,0.0079933,0.0411647,0,0.0079089,0.0412491,0,0.049158,0.12375,1200
0.0489166,8.7399036e-05,1200,0.0079537,0.0410503,0,0.0079287,0.0410753,0,0.0079339,0.0410701,0,0.049004,0.1232831,1200
0.0490282,8.2399696e-05,1200,0.0079163,0.041194297,0,0.0079294,0.0411812,0,0.0080274,0.041083198,0,0.0491106,0.1235411,1200
0.0489407,7.640198e-05,1200,0.0079003,0.0411168,0,0.0078933,0.0411238,0,0.0079056,0.041111503,0,0.0490171,0.12342851,1200
0.0490773,7.029995e-05,1200,0.0080234,0.0411242,0,0.0079271,0.041220497,0,0.0079404,0.041207198,0,0.0491476,0.123622194,1200
0.0489802,7.14995e-05,1200,0.0079386,0.041113097,0,0.0079283,0.041123398,0,0.0079421,0.0411096,0,0.0490517,0.12341759,1200
0.0489894,4.6800822e-05,1200,0.0079,0.0411362,0,0.0079153,0.0411209,0,0.0079272,0.041109003,0,0.0490362,0.12341291,1200
0.0489453,3.8500875e-05,1200,0.0079154,0.0410684,0,0.0079142,0.0410696,0,0.0079604,0.041023403,0,0.0489838,0.12319991,1200
0.0487458,3.870204e-05,1200,0.008012,0.0407725,0,0.0080407,0.0407438,0,0.0080519,0.0407326,0,0.0487845,0.12228761,1200
0.0502577,1.2598932e-05,1200,0.0079215,0.042348802,0,0.0078887,0.0423816,0,0.0079304,0.0423399,0,0.0502703,0.1270829,1200
0.0488942,1.1797994e-05,1200,0.0080552,0.0408508,0,0.0080977,0.040808298,0,0.0081505,0.0407555,0,0.048906,0.12242639,1200
0.0488743,1.1701137e-05,1200,0.0080529,0.0408331,0,0.0079253,0.0409607,0,0.0079441,0.0409419,0,0.048886,0.1227474,1200
0.0490666,3.7901103e-05,1200,0.0079542,0.0411503,0,0.0079334,0.0411711,0,0.0080641,0.041040402,0,0.0491045,0.123399705,1200
0.048792,6.970018e-05,1200,0.0083001,0.0405616,0,0.0079298,0.040931903,0,0.0085268,0.040334903,0,0.0488617,0.12189811,1200
